home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
Peru,Morocco,15,13,6,4,19,12,0.4,0.3076923076923077,1.2666666666666666,0.9230769230769232,1
Romania,Czechoslovakia,21,30,11,15,30,44,0.5238095238095238,0.5,1.4285714285714286,1.4666666666666666,1
Soviet Union,Belgium,31,43,18,21,53,54,0.5806451612903226,0.4883720930232558,1.7096774193548387,1.255813953488372,1
Germany FR,Bulgaria,62,26,37,8,131,22,0.5967741935483871,0.3076923076923077,2.1129032258064515,0.8461538461538461,1
Brazil,England,108,62,75,35,225,79,0.6944444444444444,0.5645161290322581,2.083333333333333,1.2741935483870968,1
Sweden,Uruguay,46,52,22,25,74,80,0.4782608695652174,0.4807692307692308,1.608695652173913,1.5384615384615383,1
Germany FR,Peru,62,15,37,6,131,19,0.5967741935483871,0.4,2.1129032258064515,1.2666666666666666,1
Brazil,Romania,108,21,75,11,225,30,0.6944444444444444,0.5238095238095238,2.083333333333333,1.4285714285714286,1
Bulgaria,Morocco,26,13,8,4,22,12,0.3076923076923077,0.3076923076923077,0.8461538461538461,0.9230769230769232,0
England,Czechoslovakia,62,30,35,15,79,44,0.5645161290322581,0.5,1.2741935483870968,1.4666666666666666,1
Mexico,Belgium,54,43,22,21,58,54,0.4074074074074074,0.4883720930232558,1.0740740740740742,1.255813953488372,1
Italy,Mexico,83,54,52,22,128,58,0.6265060240963856,0.4074074074074074,1.5421686746987953,1.0740740740740742,1
Germany FR,England,62,62,37,35,131,79,0.5967741935483871,0.5645161290322581,2.1129032258064515,1.2741935483870968,1
Brazil,Peru,108,15,75,6,225,19,0.6944444444444444,0.4,2.083333333333333,1.2666666666666666,1
Uruguay,Soviet Union,52,31,25,18,80,53,0.4807692307692308,0.5806451612903226,1.5384615384615383,1.7096774193548387,1
Brazil,Uruguay,108,52,75,25,225,80,0.6944444444444444,0.4807692307692308,2.083333333333333,1.5384615384615383,1
Italy,Germany FR,83,62,52,37,128,131,0.6265060240963856,0.5967741935483871,1.5421686746987953,2.1129032258064515,1
Germany FR,Uruguay,62,52,37,25,131,80,0.5967741935483871,0.4807692307692308,2.1129032258064515,1.5384615384615383,1
Brazil,Italy,108,83,75,52,225,128,0.6944444444444444,0.6265060240963856,2.083333333333333,1.5421686746987953,1
Brazil,Yugoslavia,108,37,75,21,225,60,0.6944444444444444,0.5675675675675675,2.083333333333333,1.6216216216216215,0
Germany FR,Chile,62,34,37,16,131,41,0.5967741935483871,0.4705882352941176,2.1129032258064515,1.2058823529411764,1
German DR,Australia,6,13,4,4,5,11,0.6666666666666666,0.3076923076923077,0.8333333333333334,0.8461538461538461,1
Zaire,Scotland,3,23,0,6,0,25,0.0,0.2608695652173913,0.0,1.0869565217391304,0
Uruguay,Netherlands,52,54,25,33,80,91,0.4807692307692308,0.6111111111111112,1.5384615384615383,1.6851851851851851,0
Sweden,Bulgaria,46,26,22,8,74,22,0.4782608695652174,0.3076923076923077,1.608695652173913,0.8461538461538461,0
Italy,Haiti,83,3,52,0,128,2,0.6265060240963856,0.0,1.5421686746987953,0.6666666666666666,1
Poland,Argentina,31,81,18,54,44,133,0.5806451612903226,0.6666666666666666,1.4193548387096775,1.6419753086419753,1
Australia,Germany FR,13,62,4,37,11,131,0.3076923076923077,0.5967741935483871,0.8461538461538461,2.1129032258064515,0
Scotland,Brazil,23,108,6,75,25,225,0.2608695652173913,0.6944444444444444,1.0869565217391304,2.083333333333333,0
Chile,German DR,34,6,16,4,41,5,0.4705882352941176,0.6666666666666666,1.2058823529411764,0.8333333333333334,0
Yugoslavia,Zaire,37,3,21,0,60,0,0.5675675675675675,0.0,1.6216216216216215,0.0,1
